,nger_name,morningstar_name,ticker,matched,match_score
0,abb grain,abb grain,ABB1,1,100
1,aditya birla minerals,aditya birla minerals,ABY1,1,100
2,agl energy,agl energy,AGL,1,100
3,amp,amp,AMP,1,100
4,arrow energy,arrow energy,AOE,1,100
5,asciano,asciano,AIO,1,100
6,babcock & brown infrastructure,babcock & brown infrastructure,BBI,1,100
7,bluescope steel,bluescope steel,BSL,1,100
8,boral,boral,BLD,1,100
9,bradken,bradken,BKN,1,100
10,brickworks,brickworks,BKW,1,100
11,centennial coal company,centennial coal company,CEY,1,100
12,centro properties,centro properties,CEP,1,100
13,coca-cola amatil,coca-cola amatil,CCL,1,100
14,commonwealth bank of australia,commonwealth bank of australia,CBA,1,100
15,csr,csr,CSR,1,100
16,dexus,dexus,DXS,1,100
17,downer edi,downer edi,DOW,1,100
18,energy developments,energy developments,ENE1,1,100
19,envestra,envestra,ENV1,1,100
20,felix resources,felix resources,FLX1,1,100
21,fortescue metals,fortescue metals,FMG,1,100
22,foster's,foster's,FGL1,1,100
23,goodman fielder,goodman fielder,GFF,1,100
24,graincorp,graincorp,GNC,1,100
25,grange resources,grange resources,GRR,1,100
26,harvey norman,harvey norman,HVN,1,100
27,hrl,hrl,HRL,1,100
28,iluka resources,iluka resources,ILU,1,100
29,incitec pivot,incitec pivot,IPL,1,100
30,bega cheese,bega cheese,BGA,1,100
31,crane,crane,CRG,1,100
32,david jones,david jones,DJS,1,100
33,fairfax media,fairfax media,FXJ,1,100
34,healthscope,healthscope,HSO,1,100
35,kagara,kagara,KZL,1,100
36,ardent leisure,ardent leisure,ALG,1,100
37,automotive,automotive,AHG,1,100
38,cbh resources,cbh resources,CBH1,1,100
39,charter hall,charter hall,CHC,1,100
40,csl,csl,CSL,1,100
41,eastern star gas,eastern star gas,ESG,1,100
42,elders,elders,ELD,1,100
43,erm power,erm power,EPW,1,100
44,gloucester coal,gloucester coal,GCL,1,100
45,gunns,gunns,GNS,1,100
46,investa property,investa property,IPG2,1,100
47,lindsay australia,lindsay australia,LAU,1,100
48,redbank energy,redbank energy,AEJ,1,100
49,central norseman gold,central norseman gold,CNG1,1,100
50,centro retail,centro retail,CER,1,100
51,evolution mining,evolution mining,EVN,1,100
52,focus minerals,focus minerals,FML,1,100
53,integra mining,integra mining,IGR,1,100
54,atlas iron,atlas iron,AGO,1,100
55,aurizon,aurizon,AZJ,1,100
56,beach energy,beach energy,BPT,1,100
57,federation,federation,FDR1,1,100
58,hillgrove resources,hillgrove resources,HGO,1,100
59,inova  resources,inova resources,IVA,1,97
60,asaleo care,asaleo care,AHY,1,100
61,ausnet services,ausnet services,AST,1,100
62,crown resorts,crown resorts,CWN,1,100
63,aeris resources,aeris resources,AIS,1,100
64,broadspectrum,broadspectrum,BRS,1,100
65,cimic,cimic,CIM,1,100
66,cleanaway waste management,cleanaway waste management,CWY,1,100
67,event hospitality and entertainment,event hospitality and entertainment,EVT,1,100
68,alkane resources,alkane resources,ALK,1,100
69,capral,capral,CAA,1,100
70,central petroleum,central petroleum,CTP,1,100
71,lendlease,lendlease,LLC,1,100
72,a.c.n. 004 410 833,a.c.n 004 410 833,ARI,1,97
73,cudeco,cudeco,CDU,1,100
74,jb hi-fi,jb hi-fi,JBH,1,100
75,australian pacific coal,australian pacific coal,AQC,1,100
76,bounty mining,bounty mining,B2Y,1,100
77,alliance aviation services,alliance aviation services,AQZ,1,100
78,aurelia metals,aurelia metals,AMI,1,100
79,bhp,bhp,BHP,1,100
80,bingo industries,bingo industries,BIN,1,100
81,coles,coles,CGJ,1,100
82,dacian gold,dacian gold,DCN,1,100
83,gascoyne resources,gascoyne resources,GCY,1,100
84,inghams,inghams,ING,1,100
85,adbri,adbri,ABC,1,100
86,ampol,ampol,ALD,1,100
87,igo,igo,IGO,1,100
88,image resources nl,image resources nl,IMA,1,100
89,eagers automotive,eagers automotive,APE,1,100
90,29metals,29metals,29M,1,100
