year,ticker,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,table
2009,24,12.538632659926408,11.236339796002659,13.19757822288948,14.985343418275605,,,,,6.227937520334658,1.0395831275619682,7.267520647896625,81.40648953382531,log
2010,23,11.759682627410449,11.185879046781995,12.712520584654232,14.534633151348348,0.11974893332410942,-0.03234907208181405,0.014740312554689987,0.01600460931467636,5.133787352548866,0.8679020949357433,6.00168944748461,77.44839787600807,log
2011,31,11.656934386386585,10.852756906981323,12.507183946995445,14.557685392574614,-0.06886994332770698,0.0015469106301601405,-0.0342970170349815,0.04963977492785906,11.715989833215987,0.6348565913225719,12.35084642453856,151.67474939811052,log
2012,31,11.89312258268817,10.848972324276883,12.54449588899017,14.509416513711832,0.08788176618811624,0.08207953238541306,0.0817337337453291,0.06361502237392008,4.581316089359712,0.845013355730327,5.4263294450900394,69.03918499705657,log
2013,35,11.826593665265666,10.763074332233954,12.570460549556813,14.680996938667422,0.01717637293871257,-0.09653448969557574,-0.05003276815293205,0.016298527748125662,5.474746664395245,0.6944699513071654,6.16921661570241,62.36239033486101,log
2014,32,11.89201995560897,11.220137352065256,12.667098683166955,14.923076076174393,-0.026377406111403382,0.010056201620578731,-0.022201984211714404,0.010549081110294305,3.1357761147146737,0.7105665208343791,3.846342635549053,45.85137735132759,log
2015,38,11.80895015036236,11.26752355273916,12.634477849256275,14.843658840742869,0.04156836979604064,-0.015085974795806326,0.036868474498998535,0.033538100114515815,5.44206923427874,1.2250672072097664,6.6671364414885055,87.70707174856808,log
2016,36,11.724697829362015,11.508200855927349,12.608714826359904,14.797621496460614,0.0578217820066201,-0.052559845548520646,0.023714069770131227,0.024823963006708052,3.3708735461572314,0.9079216167894383,4.278795162946669,46.29999555999419,log
2017,35,11.332217804603737,10.952999597256044,12.386424643848345,14.573154473436619,-0.03331810271002766,-0.01565173862597384,-0.03212514285969775,-0.022199127061297237,3.9570682094414646,0.8127093157440202,4.769777525185486,52.26543805105409,log
2018,36,11.645244793872102,11.174625594940753,12.599092482525162,14.698065887144228,0.02154074137750013,-0.012390075917614233,0.030106479955627877,0.08444395203572685,34.48011110143711,2.468909031818054,36.94902013325517,46.9164988238928,log
2019,40,11.785199919544251,11.068312084360626,12.665786967223585,14.80950370433479,-0.030592375622232142,0.02370288490536961,-0.0036580740974521187,0.043831637622859236,12.982262236281935,1.276355185365943,14.258617421647877,57.41842986490124,log
2020,40,11.836539251545965,10.844294752555172,12.651530179864835,14.783045280043508,-0.04556333024655539,-0.05807521040793068,-0.05085198243170975,-0.11817543042309928,12.063075447683184,1.0732315886021773,13.136307036285363,36.141808513322715,log
2021,38,11.976493140851938,10.778496086501281,12.765457078818866,14.864585438922138,0.03683582232694111,0.010389476782976165,0.020293145626063533,-0.05099392216228179,67.59599278510287,2.0537404045251213,69.64973318962797,42.972470597975295,log
2009,30,847146.6333333333,192340.06666666668,1039486.7,15134884.413793104,,,,,6.00457718628579,0.9999632371722734,7.004540423458064,77.94497165922746,exp
2010,31,692162.0967741936,165990.74193548388,858152.8387096775,10093525.193548387,61367.92,-9606.36,51761.56,-2509088.2,5.373265005030319,0.8892777318154049,6.262542736845724,76.52611191059718,exp
2011,44,645590.2954545454,141222.72727272726,786813.0227272727,11977748.720930232,21096.5,998.3928571428571,22094.89285714286,3921368.6428571427,2080.3546293695786,153.91510851717388,2234.2697378867524,28471.28282041319,exp
2012,47,962638.4468085107,129812.10638297872,1092450.5531914893,14254179.29787234,399226.61904761905,-9426.52380952381,389800.09523809527,3252293.3414634145,7.568651902406765,0.7580062813627376,8.326658183769503,108.24291187636243,exp
2013,47,874681.1702127659,129701.70212765958,1004382.8723404255,9468861.148936171,-114891.56097560975,-8041.195121951219,-122932.75609756098,-5780525.756097561,6.469474159923856,0.6865649742915204,7.156039134215376,70.5483508480055,exp
2014,45,853455.2666666667,147437.93333333332,1000893.2,9545916.2,-29361.095238095237,-6404.166666666667,-35765.26190476191,-202723.33333333334,416.06033481551265,49.801709717050805,465.8620445325635,9324.154894330874,exp
2015,48,1213890.5625,145631.39583333334,1359521.9583333333,11970476.770833334,458647.2380952381,4301.9047619047615,462949.14285714284,3309811.738095238,8.82277645646218,1.9123620159049015,10.735138472367082,156.19373401087427,exp
2016,46,1347297.608695652,154939.02173913043,1502236.6304347827,12715710.195652174,122644.07142857143,1061.5,123705.57142857143,762608.9523809524,3.294634209592081,0.8935445110845173,4.188178720676598,45.51264037507154,exp
2017,46,1389836.0217391304,169433.84782608695,1559269.8695652173,13109544.956521738,4362.186046511628,-2986.8837209302324,1375.3023255813953,-97079.13953488372,3.237328863209236,0.8172749210773831,4.054603784286619,44.306814303692136,exp
2018,47,1327698.8085106383,142066.085106383,1469764.8936170214,12290081.10638298,14897.418604651162,-2886.232558139535,12011.186046511628,174381.88372093023,32.459144704613294,2.45639840973361,34.9155431143469,45.870820678604595,exp
2019,50,1311102.0,199444.26,1510546.26,12877870.42,-24630.833333333332,12787.380952380952,-11843.452380952382,-132311.42857142858,14.303407226834183,1.3013227991658214,15.604730026000004,63.04309746055887,exp
2020,50,1343587.12,198822.6,1542409.72,13186132.12,-15218.31111111111,-6438.511111111111,-21656.82222222222,-79489.11111111111,11.729877878362096,1.0364933374830176,12.766371215845114,36.924436702145044,exp
2021,48,1324205.6875,199812.27083333334,1524017.9583333333,13426747.229166666,-39425.72340425532,-1525.7659574468084,-40951.48936170213,-229544.21276595743,70.1318135968759,2.1130649147772305,72.24487851165313,43.42429898661521,exp
