ticker,scope1,scope2,total_emissions,energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,table
30,847146.6333333333,192340.06666666668,1039486.7,15134884.413793104,,,,,6.00457718628579,0.9999632371722734,7.004540423458064,77.94497165922746,exp
31,692162.0967741936,165990.74193548388,858152.8387096775,10093525.193548387,61367.92,-9606.36,51761.56,-2509088.2,5.373265005030319,0.8892777318154049,6.262542736845724,76.52611191059718,exp
44,645590.2954545454,141222.72727272726,786813.0227272727,11977748.720930232,21096.5,998.3928571428571,22094.89285714286,3921368.6428571427,2080.3546293695786,153.91510851717388,2234.2697378867524,28471.28282041319,exp
47,962638.4468085107,129812.10638297872,1092450.5531914893,14254179.29787234,399226.61904761905,-9426.52380952381,389800.09523809527,3252293.3414634145,7.568651902406765,0.7580062813627376,8.326658183769503,108.24291187636243,exp
47,874681.1702127659,129701.70212765958,1004382.8723404255,9468861.148936171,-114891.56097560975,-8041.195121951219,-122932.75609756098,-5780525.756097561,6.469474159923856,0.6865649742915204,7.156039134215376,70.5483508480055,exp
45,853455.2666666667,147437.93333333332,1000893.2,9545916.2,-29361.095238095237,-6404.166666666667,-35765.26190476191,-202723.33333333334,416.06033481551265,49.801709717050805,465.8620445325635,9324.154894330874,exp
48,1213890.5625,145631.39583333334,1359521.9583333333,11970476.770833334,458647.2380952381,4301.9047619047615,462949.14285714284,3309811.738095238,8.82277645646218,1.9123620159049015,10.735138472367082,156.19373401087427,exp
46,1347297.608695652,154939.02173913043,1502236.6304347827,12715710.195652174,122644.07142857143,1061.5,123705.57142857143,762608.9523809524,3.294634209592081,0.8935445110845173,4.188178720676598,45.51264037507154,exp
46,1389836.0217391304,169433.84782608695,1559269.8695652173,13109544.956521738,4362.186046511628,-2986.8837209302324,1375.3023255813953,-97079.13953488372,3.237328863209236,0.8172749210773831,4.054603784286619,44.306814303692136,exp
47,1327698.8085106383,142066.085106383,1469764.8936170214,12290081.10638298,14897.418604651162,-2886.232558139535,12011.186046511628,174381.88372093023,32.459144704613294,2.45639840973361,34.9155431143469,45.870820678604595,exp
50,1311102.0,199444.26,1510546.26,12877870.42,-24630.833333333332,12787.380952380952,-11843.452380952382,-132311.42857142858,14.303407226834183,1.3013227991658214,15.604730026000004,63.04309746055887,exp
50,1343587.12,198822.6,1542409.72,13186132.12,-15218.31111111111,-6438.511111111111,-21656.82222222222,-79489.11111111111,11.729877878362096,1.0364933374830176,12.766371215845114,36.924436702145044,exp
48,1324205.6875,199812.27083333334,1524017.9583333333,13426747.229166666,-39425.72340425532,-1525.7659574468084,-40951.48936170213,-229544.21276595743,70.1318135968759,2.1130649147772305,72.24487851165313,43.42429898661521,exp
